positive,negative,date
2.5,1.0,8/4/16
3.875,3.125,8/4/16
0.75,0.25,8/5/16
0.875,1.375,8/5/16
5.0,3.625,8/6/16
0.125,1.125,8/8/16
1.125,0.375,8/8/16
0.5,0.0,8/8/16
1.5,0.25,8/8/16
0.5,0.25,8/9/16
0.5,0.375,8/10/16
0.875,0.375,8/10/16
2.0,0.375,8/11/16
1.5,1.125,8/11/16
0.0,0.375,8/11/16
1.375,0.0,8/12/16
3.125,2.375,8/12/16
0.375,0.5,8/13/16
1.0,0.25,8/15/16
1.375,0.125,8/15/16
0.125,0.75,8/15/16
0.5,0.25,8/16/16
0.375,0.125,8/16/16
0.125,0.125,8/17/16
0.375,1.375,8/17/16
1.75,0.25,8/18/16
0.0,0.125,8/18/16
0.5,0.0,8/19/16
1.0,0.0,8/19/16
0.125,0.0,8/19/16
0.375,0.125,8/19/16
1.5,1.375,8/20/16
0.375,0.25,8/22/16
3.875,3.625,8/22/16
0.25,1.0,8/23/16
0.0,0.125,8/23/16
0.0,0.5,8/23/16
0.5,0.25,8/24/16
14.625,9.375,8/24/16
0.625,0.125,8/25/16
0.875,0.375,8/25/16
1.125,0.0,8/26/16
0.5,0.625,8/26/16
11.375,3.5,8/27/16
0.75,0.0,8/27/16
0.125,0.25,8/28/16
1.75,0.75,8/29/16
1.375,1.5,8/29/16
1.75,0.125,8/29/16
2.0,0.125,8/30/16
0.375,0.625,9/1/16
0.75,0.625,9/2/16
0.375,0.375,9/2/16
1.25,0.25,9/2/16
0.25,1.625,9/2/16
1.375,0.5,9/2/16
3.375,0.625,9/3/16
0.625,0.25,9/3/16
0.5,0.5,9/3/16
0.0,0.0,9/5/16
0.25,0.0,9/5/16
0.25,0.375,9/5/16
0.25,0.125,9/5/16
0.375,0.75,9/5/16
0.875,0.75,9/5/16
4.5,4.25,9/6/16
0.125,0.75,9/6/16
0.875,0.75,9/7/16
0.875,0.25,9/7/16
2.0,0.5,9/7/16
0.375,0.375,9/8/16
0.0,0.375,9/9/16
0.125,0.0,9/9/16
0.0,0.0,9/10/16
0.625,0.25,9/10/16
0.625,0.0,9/12/16
0.875,0.875,9/12/16
1.0,0.25,9/12/16
0.25,0.25,9/14/16
2.0,0.875,9/16/16
4.625,7.375,9/17/16
0.25,0.125,9/19/16
1.625,0.375,9/20/16
0.125,0.25,9/21/16
1.375,0.875,9/22/16
